key,value
7602,7.26
7605,2.95
7607,2.95
7610,0.9
7698,0.9
7699,0.9
7704,0.9
7705,6.98
7710,4.89
7711,4.89
7717,4.89
7719,4.89
7720,3.39
7721,3.39
7722,3.39
7723,2.32
7724,2.32
7725,2.32
7726,2.32
7729,2.32
7731,2.32
7855,4.75
8001,2.95
8002,2.02
8003,2.02
8006,2.62
8008,0.99
8010,1.56
8013,0.57
8014,0.57
8015,0.17
8017,1.26
8018,3.17
8021,2.38
8024,2.38
8031,2.65
8032,1.86
8033,1.62
8034,1.62
8037,1.07
8039,1.23
8044,3.31
8045,0.09
8046,2.35
8047,0.2
8048,0.2
8058,2.79
8061,2.79
8067,2.79
8072,0.04
8102,1.37
8103,2.41
8105,2.41
8106,5.08
8107,3.25
8111,1.62
8112,1.62
8113,1.62
8116,2.35
8203,7.8
8204,5.95
8209,4.12
8215,3.99
8227,4.97
8231,4.97
8232,5.81
8233,3.2
8234,3.2
8235,5.49
8236,6.82
8263,8.56
8264,5.43
8265,7.12
8273,7.12
8274,7.12
8277,7.12
8279,7.01
8288,7.67
8291,3.82
8292,3.8
8293,10.88
8295,10.88
8304,6.3
8350,9.9
8353,9.9
8370,9.9
8380,2.3
8381,1.94
8385,1.94
8387,1.94
8391,1.94
8392,2.22
8393,1.26
8399,1.26
8411,1.26
8500,6.98
8601,0.44
8602,1.07
8603,0.11
8606,1.86
8607,1.86
8709,8.78
8719,2.11
8720,0.53
8721,0.6
8723,0.25
8725,2.87
8726,4.15
8728,4.15
8734,0.6
8737,0.52
8738,0.84
8742,0.44
8743,0.44
8744,0.44
8745,3.58
8748,0.87
8752,0.87
8753,0.87
8754,0.87
8755,0.44
8799,0.6
8800,1.1
8803,0.08
8805,0.25
8809,0.25
8810,0.19
8811,0.19
8812,0.19
8814,0.25
8815,0.35
8818,0.35
8820,0.19
8824,2.41
8825,2.41
8826,2
8828,2
8829,2
8831,0.74
8832,0.46
8833,0.53
8834,0.53
8835,2.46
8837,2.46
8838,2.46
8840,2.46
8841,2.46
8842,2.3
8853,2.3
8855,0.19
8856,0.82
8858,0.82
8861,0.82
8862,0.82
8864,0.8
8868,0.71
8869,0.58
8871,0.11
8872,0.11
8877,0.11
8901,0.27
9012,0.34
9013,0.34
9014,3.44
9015,2.95
9016,2.27
9019,3.11
9022,3.11
9032,3.11
9033,1.92
9040,3.44
9044,0.61
9047,0.61
9052,1.51
9053,1.51
9058,1.29
9060,0.8
9061,0.55
9062,0.8
9063,0.23
9076,0.23
9077,4.01
9078,4.01
9079,4.01
9080,4.01
9082,0.72
9083,0.74
9084,0.91
9088,0.91
9089,0.5
9093,0.85
9094,0.85
9101,3.61
9102,4.04
9110,4.04
9150,4.04
9154,1.59
9156,2.3
9170,10.94
9177,10.94
9178,8.46
9179,22.76
9180,6.25
9182,2
9183,2
9186,22.68
9187,22.68
9220,7.28
9328,7.28
9349,7.28
9351,7.28
9366,7.28
9402,7.15
9403,10.64
9405,10.64
9410,2.79
9411,2.79
9412,2.79
9415,2.79
9416,2.79
9417,2.79
9420,2.79
9421,2.79
9422,2.79
9424,2.79
9427,2.79
9448,2.79
9449,2.79
9450,2.79
9451,2.79
9452,2.79
9453,2.79
9470,2.79
9501,3.41
9505,6.11
9516,3.06
9519,4.8
9521,4.2
9522,1.45
9529,1.45
9530,1.45
9534,7.56
9552,7.56
9554,14.94
9586,0.65
9600,2.32
9609,2.32
9610,2.32
9620,0.96
9661,0.96
9921,0.96
9984,0.96
9985,0.96
